supplier_clean,amount,rowcount
Ground Control Ltd,10657021.81,136
R Benson Property Maintenance Ltd,10638942.82,122
Central LDN Comm HLTH NHS TR,10616335.35,90
Barnet Homes Ltd,10603350.16,86
Prime Way Care Ltd,10560169.55,7224
Roselyn Capital Ltd,10507278.45,923
Helix Construct Ltd,10491552.2,40
Oasis Care & Training Agency,10489875.27,6433
GCH Alan Morkill House Ltd,10485617.11,39
Outlook Care,10462230.4,1320
Anglian Water,10460779.11,3276
BTU Ltd,10448697.19,37
Shine Partnerships Ltd,10441352.09,1855
Max Building Services Ltd,10410055.77,338
OCS M & E Services Ltd,10389295.96,999
Healthcare Homes Ltd,10353136.96,2038
Lewisham Nexus Service,10349453.64,391
Stormont House School,10346538.27,119
Idox Software Ltd,10313055.51,441
John Ruskin Primary School,10302938.35,295
Faithful & Gould,10299934.14,685
St George Northfields Ltd,10276977.97,21
Monteagle Primary School,10240477.94,149
Supporting Care North East Branch,10228355.07,379
Sebright Primary School,10164997.37,157
Queen Elizabeth II Jubilee School,10159792.49,123
D D Payroll Services,10147896.44,4732
Buildtrust Ltd,10135850.19,84
Poplar Primary School,10135801.11,58
NHS North West London ICB,10134665.01,77
The Drive Care Homes Ltd,10111871.5,839
Arcadis Ltd,10094298.76,653
Rose Lane Primary School,10082534.68,172
Adam HTT Ltd,10081535.83,31498
DRS Care Homes Ltd,10052699.5,1853
Phoenix Primary School,10026366.87,216
DMS Properties Services Ltd,10011624.54,4189
Capital Homecare Ltd,10009550.5,10033
Corona Energy Ltd,9984319.38,5817
Alliance Leisure,9983605.07,19
Sense,9954250.06,1661
St Matthews CE Primary School,9929415.01,191
Marion Richardson School,9912716.84,162
Brent Pension Fund,9904931.94,24
Centrepoint Soho Ltd,9870536.42,826
Jamores Ltd,9855134.32,584
Devonshires Solicitors LLP,9828206.56,538
Virgin Media Ltd,9818404.7,1109
Compensation Claims & Legal Costs,9787790.76,1089
Danegrove Primary School,9765930.01,117
Medequip Assistive Technology Ltd,9762507.93,85
Middlesex Housing Ltd,9750952.88,133
Quadron/idverde Ltd,9740734.12,555
Beyond Autism,9739599.61,471
Carew Academy,9730995.52,201
Lansbury Lawrence School,9721823.33,169
Camelot Primary School,9713993.77,249
Depaul UK,9712042.21,552
Liquid logic Ltd,9710180.58,199
Singlegate Primary School,9706119.72,43
John Perry Primary School,9668811.06,165
Carlisle Security,9668117.92,946
Reeson Care Homes Ltd,9664737.5,1376
Shenstone School,9660497.79,98
Norwood Schools Ltd,9644725.93,2116
Tuke School,9614871.89,153
BIO Luminuex Health Care Ltd,9604260.98,38857
Hamletts Ltd,9593387.67,2005
Five Rivers Child Care Ltd,9575395.31,1538
Harrow Strategic Development Partnership LLP,9574476.66,33
Wates Living Space Ltd,9557140.02,765
Equans Services Ltd,9556739.18,231
Abingdon House School Purley Ltd,9546708.13,505
Our Lady's Convent High School,9536408.31,69
Castle Residential Housing Ltd,9520560.89,478
Version 1 Solutions Ltd,9519775.86,507
Marlborough Primary School,9519574.53,205
Cherry Garden School,9519183.15,166
Young Giants Ltd,9508783.98,1363
Salisbury Support 4 Autism Ltd,9497157.22,1151
Kier Transportation Ltd,9439000,1
Hruc,9434698.59,73
Aecom Ltd,9430730.57,566
PA Housing,9428605.15,127
Cayley School,9425732.37,166
Safe Homes SE Ltd,9424804.24,505
Penrose Options,9403824.48,800
Avante Care Services Ltd,9398028.25,1948
Devonshire Primary School,9364882.03,140
PRB Estates Ltd,9358014.59,145
Jones Lang Lasalle Ltd,9355241.01,353
Bywaters Ltd,9348418.06,180
Bowden House School,9344917.85,181
CWG Roofing Ltd,9300959.8,90
London South East Colleges,9296080.91,145
Supporting Care Ltd,9287646.52,2900
London Borough Of Havering,9284748.67,389
Our Lady & Joseph Catholic Primary School,9276090.91,173
The Oyster Partnership Ltd,9272243.97,4298
Hunters Hall Primary School,9267023,189
EC Business Improvement District Ltd,9258936.73,22
First Class Management LDN Ltd,9258605.43,5501
Quadron Services Ltd,9255532.04,291
Ivydale Primary School,9254681.62,242
St James CE Primary School,9254436,233
Mencap Ltd,9233076.67,1259
Finefair Ltd,9209120.67,506
Ridge & Partners LLP,9207643.49,983
Tpfl Project Co Ltd,9204739.31,51
Gjini Building Services Ltd,9198769.34,223
Ealing Lighting Finance Ltd,9189285.21,22
Southwood Primary,9188104.95,139
Graceful Care Ltd,9187460.9,4594
Aspris Childrens Services Ltd,9186730.39,526
Maison Moti Ltd,9181698.64,2974
Nazareth House,9167167.02,2451
Bessemer Grange Primary School,9165823.49,228
John Scurr School,9151247.87,184
Compass Childrens Homes Ltd,9141877.25,625
Bercleys Properties Ltd,9119679.11,5478
Kajima Haverstock Ltd,9117472.71,116
John Sisk & Son Ltd,9116389.62,11
King Solomon High School AC,9097862.91,86
Allies and Morrison Architects LLP,9095107.49,171
Greater London Fostering Ltd,9090182.96,3035
Fennies Day Nurseries Ltd,9083479.49,434
William Torbitt Primary School,9079679.34,84
Folera Ltd,9053005.75,98
Rather Home Care Ltd,9044897.26,4362
Richard Alibon Primary School,9044868.76,147
Bigland Green Primary School,9043869.15,169
St Christophers Fellowship,9010356.25,826
Angel Support Living Ltd,9007220.96,2370
Ambient Support Ltd,8995375.03,2223
Thomas Buxton Primary School,8978240.52,166
Remax Asset Management,8963017.6,65
Ductclean Ltd,8959663.03,601
Saltash Enterprises Ltd,8955729.31,242
Eastbrook Comprehensive School,8945306.47,54
Wimbledon Park Primary School,8945233.36,44
Metro Letts Ltd,8943421.8,3963
London & Quadrant Housing Trust,8941955.82,720
Botwell House Catholic Primary School,8925771.83,152
JS Management Ltd,8917962.88,3830
Goodrich Primary School,8901429.32,207
Chestnut Nursery School Ltd,8888531.61,628
KAT Transport,8877211.94,5746
Bondcare London Ltd,8861885.33,1945
Walsingham Support Ltd,8840941.63,800
Berger Primary School,8835113.78,107
Shoreditch Park School,8833071.6,128
JN & F Ltd,8826892.19,1172
Cherry Lane Primary School,8823448.61,188
Hampton Junior School,8821473.89,59
Oliver Landon Ltd,8804955.63,2487
Daubeney Primary School,8798914.9,128
J.c.michael Groups Ltd,8744986.82,24759
Central & Cecil Housing Trust11,8724770.88,544
Ohcat,8717972.19,311
Albion Primary School,8699711.88,246
Heywood Ltd,8697226.46,163
London Hire Ltd,8691893.5,1455
The Children's Trust,8671611.69,1250
HC One Ltd,8650913.71,919
Osmani Primary School,8643265.28,167
Midco Care Ltd,8615426.57,855
London Borough Of Wandsworth,8614628.26,696
Link Estates Ltd,8612418.5,213
IBM United Kingdom Ltd,8611602.74,73
Shared Care Services Ltd,8585471.44,4158
Ranc Care Homes Ltd,8578816.62,1969
Kenson Highways Ltd,8571743.43,287
Chartwells,8567338.61,76
Soma Healthcare Ltd,8558551.28,922
Fox Transport,8548878.37,110
Keys PCE Ltd,8539727.76,338
Lukka Care Homes Ltd,8536907.48,2269
Buckingham Hotel,8530333.52,106
Environment Agency,8527868.51,210
Richwell Construction Ltd,8510669.52,1060
Lampton Greenspace 360 Ltd,8508962.01,221
HM Prison & Probation Service,8502798.32,880
A Wilderness Way Group Ltd,8494969.28,263
United Colleges Group,8480106.68,207
Wandsworth Borough Council,8477605.81,284
Camden And Islington NHS Foundation Trus,8471638.58,34
Thomas Arnold Primary School,8470356.34,181
Quartz Properties Ltd,8467781.49,299
Provide Care Solutions Ltd,8458329.69,24
Grange Primary School,8451493.18,282
London Borough Of Redbridge,8449486.23,188
Norbury Property Services Ltd,8440273.45,3483
Harry Gosling School,8440024.27,172
LHG Thornton Heath Ltd,8435411.04,334
Woodfield School,8435313.71,18
Holistic Community Care Ltd,8434519.96,4176
Cambian Childcare Ltd,8395497.5,412
London Grid For Learning Trust,8374462.78,509
Hays Specialist Recruitment Ltd,8364998.99,4139
Workman LLP,8354940.69,296
Nursing Direct Healthcare Ltd,8340806.58,1343
Lodge Group Care UK Ltd,8330864.97,4198
British Gas,8305225.85,2708
Magic Life Ltd,8304945.12,838
Brunswick Park Primary School,8304127.94,256
Liberty Primary School,8292729.77,59
Kaamil Education Ltd,8285532.03,4988
Bangabandhu Primary School,8277318.87,220
Alcema Ltd,8254801.69,36
Maypole Therapeutic Education Ltd,8252255.35,269
Five Elms Primary School,8251076.93,214
Hayes Park School-lb Hillingdon,8239101.89,174
Southwark Park Primary School,8231862.51,208
Vista Care Solutions Ltd,8229669.57,25826
Manor Junior School,8218440.52,115
Certas Energy UK Ltd,8217821.8,462
Wellington Primary School,8215886.85,167
Side By Side Side By Side Children Ltd,8207524.64,140
Foster Property Maintenance Ltd,8191788.32,231
Ashe Construction Ltd,8191671.41,16
Filey Care And Support Ltd,8188048.65,482
Transport,8180392,3
United Response Services Ltd,8143762.21,176
Priors Court Services Ltd,8143366.48,234
Country Court Care Group Contracting Ltd,8141559.19,1952
Rabbsfarm Primary School,8130770.71,139
Baugh House,8129628.67,393
Fairley House School,8123169.97,465
Dorchester Primary School,8121687.1,200
Globe Primary School,8118986.57,224
Dennis Johns Service Group Ltd,8092743.74,904
Michael Faraday Primary School,8080952.57,203
Northbourne Court Care Home,8077517.85,3100
Castleline Ltd,8075831.4,1085
Absolute Care Services Ltd,8073711.31,3690
Grand Avenue Primary And Nursery School,8064779.24,139
NU Schools For Redbridge Ltd,8056514.41,48
Touchstone Corporate Property Services Ltd,8051708.75,25
Carers Trust Hillingdon And Ealing,8034665.32,22
Eleanor Healthcare Group,8027014.28,617
West Wimbledon Primary School,8024941,44
Parkview Nursing Home,8019165.65,1717
RNS Homes Ltd,8014752.92,421
Angels Abode Ltd,8001580.86,1475
Browne Jacobson LLP,7956130.88,3892
Norman Rourke Pryme Ltd,7952231.11,1261
Glebe Primary School,7950632.37,186
Channels & Choices Fostering Ltd,7950552.98,517
St Lukes Primary School,7938022.28,161
Oak Lodge School Academy,7926582.22,63
Camden Learning Ltd,7925973.26,32
Aria Healthcare Group Ltd,7908529.98,908
Serenity School Eltham Ltd,7906342.86,287
NHS North Central London CCG,7905461,17
Colham Manor Primary School,7889663.58,150
Forward Community Care Ltd,7868420.05,786
Allied Health-services Ltd,7859507.7,6443
Focus Education Ltd,7821281.85,79
AL Noor Voluntary Aided Primary School,7815108.63,95
Magicare Ltd,7814542.19,323
Mayflower School,7809541.2,163
Barlby Primary School,7786665.19,154
Wonde Ltd,7786559.21,243
Little Heath School AC,7785616.54,100
Clece Care,7782689.13,826
Atpb Ltd,7776867.51,319
Enabled Living Healthcare Ltd,7775677.82,59
St Mary And St Michael RC Primary School,7775030.92,166
BTS Property Solutions Ltd,7768592.23,59
Apex Lift & Escalator Engineers Ltd,7767721.31,519
City Borough Housing Ltd,7760681.51,76
Sagecare Ltd,7753048.53,6315
Residential Care Services Ltd,7742948.74,1235
Limes College,7742697.76,304
BSW Heating Ltd,7734767.74,225
Old Palace School,7719656.4,119
Oakland Building Services Ltd,7710585.12,53
Ricoh UK Ltd,7698707.59,639
Lodge Lane Care Home Ltd,7689148.58,1911
Abel-living Ltd,7685350,394
IB Holdings Ltd,7683575.3,15
Options Autism Services Ltd,7680713.41,554
Alfred Salter Primary School,7680573.39,218
Springfields Ltd,7679316.95,3175
Raam Construction Ltd,7674322.17,84
Switch Hospitality Management Ltd,7671570.18,1287
Empathy Housing Ltd,7666908.17,2876
Immaculate Healthcare Services Ltd,7666030.67,17655
RBKC Colville Primary School,7664920.17,173
Rasmi Services Ltd,7656188.72,56
Ladybirds Ltd,7648675.55,523
Focus Care Link Ltd,7647969.7,3131
Neteru Property Services Ltd,7641646.49,1766
Ark Build Plc,7638277.03,44
Barnardos,7615986.02,551
Medacs Homecare,7614993.74,4691
Right Support Management Ltd,7612097.5,866
Ymca,7602001.43,3660
Avenue Primary Academy,7600390.95,154
Haringey Schools Services Ltd,7590317.35,21
Elysium Healthcare Ltd,7583502.82,1489
Voyage Care Ltd,7580750.32,723
Parkwood Hall Co-operative Academy Trust,7561347,313
Warren Junior School,7557262.61,94
Oliver Goldsmith Primary School,7555701,189
Laser Energy - Kent County Council KCS,7538215.72,569
Guideline Lift Services Ltd,7538139.17,1070
Reed Specialist Recruitment Ltd,7528060.87,3261
Becontree Primary School,7522608.12,179
Connifers Care Ltd,7505230,792
Pelham Primary School,7503474.46,91
The Project Centre Ltd,7502206.92,622
New Regent's College,7482623.04,85
VIA,7468444.75,32
Collis School,7464478.06,86
Winstanley York Road Regenerat,7458898.34,17
Residenza Properties Ltd,7448583.4,1249
St Teresa's R C Primary School,7446877.73,40
Vistry P'ships Ltd,7446595.73,83
Allied Ventures Property Solutions Ltd,7440299.8,96
St Lukes C Of E Primary School,7437932.97,191
Deanesfield Primary School - LBH SCH,7427075.5,169
Bromley Healthcare Community Interest Co Ltd,7422407.39,28
Lyncade Ltd,7421291.72,291
Canterbury Campus,7420446.06,32
Brent Couriers Ltd,7398102.13,298
Housing Enterprise Solutions Ltd,7378136.47,85
London Fields Primary School,7373697.73,103
Clearbridge Housing Ltd,7365946,2053
Houns. & Rich. Comm. Healthcare NHS Trust,7365364.98,31
Elysium Care Partnerships Ltd,7357465.52,270
Precision Lift Services Ltd,7353566,1161
Sacred Heart RC Primary School,7347101.32,146
Abbottsleigh Mews,7339661.16,2360
St Thomas Of Canterbury Primary,7335529.24,46
Young London Today,7332939.45,1837
Topcoat Construction Ltd,7331053.06,214
Fostering Innovations Ltd,7312386.47,3353
Ashburton Services Ltd,7310547.86,122
Aston Pearl Real Estate,7306796.94,3864
Epayroll UK Ltd,7303818.68,2567
Heath Care Services Ltd,7286701.81,1530
Rushmore Primary School,7273855.82,106
Christopher House Ltd,7272192.54,1282
Normanshire Care Services Ltd,7263109.29,1167
CBM Group Ltd,7263096.13,2575
Crownsavers HOC Only,7255000,116
Nightingale Primary School,7251767.98,139
Oak Construction & Maintenance Ltd,7233060.95,860
Dulwich Wood Primary School,7223388.31,136
Coppice Primary School Payroll AC,7208319.31,36
NHS North West London CCG,7193736.41,37
Leathermarket JMB Housing,7184175.96,45
Hatfeild Primary School,7182328.62,44
Yesodey Hatorah Secondary Girls School,7175324.07,55
Bishop Challoner Catholic Collegiate,7170989.01,43
Blak Diamond Social Care Ltd,7166291.53,205
Her Majesty's Prison & Probation Service,7159569,523
Homes2let UK Ltd,7156695.2,30
ISS Caterhouse- DIV Of ISS Mediclean Ltd,7156515.97,47
One Housing Group Ltd,7156254.61,1161
Next Step Support Ltd,7154541.11,1278
Pensionsadmin,7147745.22,236
Abacus Mobility Ltd,7142123.18,1180
Highview Roofing & Externals Ltd,7107409.15,18
Drain Surgeon Services Ltd,7098734.08,115
Great Oaks College,7087999.61,50
Woodside Academy,7086497.01,105
BL CW Holdings Ltd,7077537.41,12
Faithorn Farrell Timms LLP,7076108.09,428
Highview Primary School,7074191.47,196
Bridgewater Roofing Contractors Ltd,7072935.57,38
Leonard Cheshire Services CIC,7069635.07,782
C M Care Ltd,7063004.72,110
Archbishop Tenison High EB,7061904.87,32
Tower Project,7054983.84,2294
Evolve Housing & Support,7036633.42,329
TKF Group Ltd,7025924.09,112
Logan Construction South East Ltd,7008912.71,107
Grant Payments,7005664.02,769
Lifeways Community Care Ltd,6992252.89,1284
Government Bodies,6983294.1,159
London Borough Of Hackney,6982853.82,347
Abbotsbury Primary School,6975451.61,42
Crawford Primary School Gipsy Hill Federation,6972634.04,216
Woodbridge High School Payroll AC,6960000,8
Hamberley Care Ltd,6954090.98,1493
London Borough of Sutton,6950468.93,20
Blue Gate Fields Junior School,6948968.96,111
Oak House Childrens Homes Ltd,6947462.9,318
Keyworth Primary School,6933135.75,233
RYE Oak Primary School,6924952.15,319
Storm Environmental Ltd,6924864.92,825
Gorringe Park Primary School,6912402.61,42
Kennedys Law LLP,6907882.65,1157
Kingdom Services Group Ltd,6900782.41,278
Potter Raper Ltd,6899308.14,692
English Martyrs RC Primary School,6889617.92,184
William Patten Primary School,6885131.38,107
Sykes & Son Ltd,6874926.53,454
Pinsent Masons LLP,6873870.54,442
Barnet Education And Learning Servi,6866216.93,59
National Autistic Society,6864936.26,836
Croydon College,6855576.32,184
Look Ahead Housing & Care Ltd,6839333.59,222
Amac Express Services,6837372.31,323
Lauriston Primary School,6821425.38,96
Serenity School Coulsdon Ltd,6803088,278
Cyclehoops Ltd,6802264.47,992
Sharpe Pritchard LLP,6797683.45,2830
Young Epilepsy,6797030.12,215
ISG Construction Ltd,6790365.31,21
Cardinal Pole RC School,6772174.09,34
Betty Layward Primary School,6770605.2,103
Onecare UK Ltd,6746302.34,2906
Person Centred Care Homes,6733937.29,319
Addington Valley Academy,6731258.33,37
Milestone South East Ltd,6723271.78,150
Vincentian Care Plus,6719878.56,4410
Quinn Ltd,6714373.58,71
Stef & Philips Corporate Ltd,6711730,50
Heber Primary School,6708419.85,183
Martin Arnold Ltd,6707614.8,491
Mastek Systems Company Ltd,6703334.55,223
Re-gen Construction Ltd,6692382.2,174
Niblock Ltd,6692077.29,120
4 Futures Phase 1 Ltd,6691458.85,30
Rosedene Nursing Home,6686690.36,637
Hillcross Primary School,6682921.1,45
Atkinsréalis PPS Ltd,6682888.94,259
Riverdale,6676353.75,2247
